type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
数据分析师,数据分析师[西北旺],高途,25000,45000,经验3-5年,本科,在线教育 / 上市公司 / 2000人以上,2000,在线教育,广阔的发展空间,https://www.lgstatic.com/thumbnail_120x120/10/ba3d0e78071740bd829e20cfa247e917.png,北京
数据分析师,数据分析师[西直门],开源证券,15000,20000,经验3-5年,本科,科技金融 / 上市公司 / 2000人以上,2000,用研/科技金融/金融业/SQL,知名国企/福利好/扁平管理/活力,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/0F/36/CgqCHl7HPE2ALogvAAAm4fFDHIc218.png,北京
数据分析师,数据分析师[海淀区],南方网络,10000,15000,经验1-3年,本科,移动互联网 / 未融资 / 15-50人,15-50,生活服务/MySQL/文化传媒/SQL Server/Python,国企旗下全资子公司，扁平化管理,https://www.lgstatic.com/thumbnail_120x120/image1/M00/3E/F5/CgYXBlW_HDWARrEuAAARwyq6noc796.jpg?cc=0.38322723703458905,北京
数据分析师,数据分析师[五道口],知乎,20000,40000,经验3-5年,本科,内容社区 / 上市公司 / 2000人以上,2000,内容社区/SQL,管餐,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/73/C7/CioPOWIW9XyABh-RAABBMb3ef_o061.png,北京
数据分析师,数据分析师[通州区],北京京东世纪贸易有限公司,20000,40000,经验不限,本科,电商平台 / 上市公司 / 2000人以上,2000,电商平台,战略级业务,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/13/95/CgotOVnwNqeAFbmnAABaH5Q_vVE401.png,北京
数据分析师,数据分析师[金融街],青萌数海,25000,50000,经验3-5年,本科,数据服务 / 天使轮 / 少于15人,15,软件服务｜咨询/人工智能服务,国家法定福利，餐补，团建等,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/6E/02/CgoB5l1Cl_qADQYOAABWElcFGzg716.jpg,北京
数据分析师,数据分析师[西二旗],神州数码,15000,25000,经验3-5年,本科,"人工智能服务,软件服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询,临近地铁 七险一金 弹性办公 食堂,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/19/Cgo8PFTUWFOAaaXiAACnzoYYhfc884.gif,北京
数据分析师,数据分析师[朝阳区],汉骋企业管理咨询,12000,18000,经验1-3年,本科,专业服务｜咨询 / 未融资 / 50-150人,50-150,新能源汽车制造/汽车交易平台/SQL,专业团队,https://www.lgstatic.com/thumbnail_120x120/10/9bccdc1d9f5244c897567617824b3e9e.png,北京
数据分析师,数据分析师[西北旺],联科,8000,13000,经验1-3年,本科,数据服务 / 未融资 / 50-150人,50-150,区块链/信息安全｜反作弊/信息安全,六险一金，发展好，赛道好,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/22/Cgo8PFTUWHSAf9iYAAB4KP6GMXA764.jpg,北京
数据分析师,数据分析师[朝阳区],智汇川,15000,20000,经验在校,应届,"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询 / 未融资 / 50-150人",50-150,Unix/AIX/回归算法/Mac OS X/IT技术服务｜咨询,五险一金、双休、节假日礼包、下午茶、年终奖,https://www.lgstatic.com/thumbnail_120x120/10/94395c98865e4635bd86dfa8fa077a8d.png,北京
